,gene,plate,row,column,area.24,mean_intensity.24,area.48,mean_intensity.48
42,ScBTX021,0,1,18,1681.0,0.5029105427712165,1732.0,0.6685585784926775
43,ScBTX021,0,1,19,1610.0,0.5114118905208751,1652.0,0.6777939447091393
44,ScBTX020,0,1,20,1724.0,0.3778800098776916,1809.0,0.1735585533170384
45,ScBTX020,0,1,21,1618.0,0.37495374032007617,1704.0,0.18556586226355648
46,ScBTX021,0,1,22,1670.0,0.5121695811702205,1744.0,0.6891637712124911
47,ScBTX021,0,1,23,2081.0,0.49605896115782294,2178.0,0.6917220517709465
48,ScBTX021,0,2,0,1821.0,0.43059996413796864,1910.0,0.6409378193587087
49,ScBTX021,0,2,1,1611.0,0.4478984709592254,1644.0,0.6339301275884264
50,ScBTX020,0,2,2,1831.0,0.41226739722263905,1883.0,0.11373397175014775
51,ScBTX020,0,2,3,1702.0,0.4185714985067351,1744.0,0.11548083516871231
52,ScBTX021,0,2,4,1605.0,0.45754190366962094,1597.0,0.6345048811880586
53,ScBTX021,0,2,5,1642.0,0.4684745248432409,1645.0,0.6359311755416255
54,ScBTX020,0,2,6,1536.0,0.40312292454042503,1583.0,0.1316229811006999
55,ScBTX020,0,2,7,1718.0,0.3894318156029713,1779.0,0.12959466131841232
56,ScBTX021,0,2,8,1532.0,0.47528694178210823,1561.0,0.6391771030002326
57,ScBTX021,0,2,9,1571.0,0.4780106981224544,1596.0,0.6513825459942688
58,ScBTX020,0,2,10,1735.0,0.36927777617491936,1779.0,0.12643451454040325
59,ScBTX020,0,2,11,1648.0,0.3768612079889066,1693.0,0.126386345387916
60,ScBTX021,0,2,12,1526.0,0.48329585176480017,1539.0,0.649399306513122
61,ScBTX021,0,2,13,1477.0,0.48199103164443063,1483.0,0.653838565621766
62,ScBTX020,0,2,14,1594.0,0.36954307794068136,1628.0,0.140844123025992
63,ScBTX020,0,2,15,1791.0,0.3604200436323709,1820.0,0.1621439332716628
64,ScBTX021,0,2,16,1527.0,0.49854976411931284,1532.0,0.6661092852486646
65,ScBTX021,0,2,17,1584.0,0.5072484821129475,1605.0,0.6701741053335901
66,ScBTX020,0,2,18,1723.0,0.3555780834350896,1742.0,0.1868372557079522
67,ScBTX020,0,2,19,1809.0,0.3532446999287099,1833.0,0.19926721606373965
68,ScBTX021,0,2,20,1544.0,0.513486170235562,1521.0,0.672769330676642
69,ScBTX021,0,2,21,1443.0,0.5152211043411973,1470.0,0.6756547518571314
70,ScBTX020,0,2,22,1729.0,0.3740811783689842,1787.0,0.18279663974213953
71,ScBTX020,0,2,23,1961.0,0.3808853775430016,2075.0,0.18629423874268228
72,ScBTX021,0,3,0,1848.0,0.45264843650791436,1930.0,0.6455649486062713
73,ScBTX021,0,3,1,1643.0,0.46471554094503786,1712.0,0.6506197218813041
74,ScBTX020,0,3,2,1689.0,0.4246790177869782,1748.0,0.13135474660675228
75,ScBTX020,0,3,3,1703.0,0.41205844510824535,1742.0,0.12652527444798567
76,ScBTX021,0,3,4,1578.0,0.4743340437834268,1573.0,0.6473109140211434
77,ScBTX021,0,3,5,1614.0,0.48490880204803183,1599.0,0.6517699649133548
78,ScBTX020,0,3,6,1850.0,0.3855660568684785,1854.0,0.12382177897837227
79,ScBTX020,0,3,7,1736.0,0.37239166175085686,1779.0,0.1268134904166646
80,ScBTX021,0,3,8,1548.0,0.47903830826887694,1553.0,0.6431265203937001
81,ScBTX021,0,3,9,1526.0,0.49932972395095543,1549.0,0.6565213574864444
82,ScBTX020,0,3,10,1521.0,0.37136566918210856,1545.0,0.11656664247076959
83,ScBTX020,0,3,11,1576.0,0.36532891633979625,1607.0,0.12003042814513917
84,ScBTX021,0,3,12,1526.0,0.49795290984060653,1516.0,0.6665815972228557
85,ScBTX021,0,3,13,1562.0,0.5076266907662634,1555.0,0.6734105362100574
86,ScBTX020,0,3,14,1642.0,0.35146740315166086,1650.0,0.15281465074916883
87,ScBTX020,0,3,15,1708.0,0.34711935595820775,1740.0,0.16014523013970086
88,ScBTX021,0,3,16,1584.0,0.5193128327929631,1574.0,0.6781041165673811
89,ScBTX021,0,3,17,1628.0,0.5238353028659037,1613.0,0.6828351940425537
90,ScBTX020,0,3,18,1632.0,0.3470491332477428,1650.0,0.19566511734861397
91,ScBTX020,0,3,19,1725.0,0.35135574202034797,1716.0,0.19527214176345983
92,ScBTX021,0,3,20,1577.0,0.5276329638525106,1564.0,0.6841842683639955
93,ScBTX021,0,3,21,1480.0,0.5105895685577334,1464.0,0.677948468592024
94,ScBTX020,0,3,22,1616.0,0.3581691600681265,1702.0,0.18899895910981043
95,ScBTX020,0,3,23,2012.0,0.36866445681685633,2117.0,0.20925658735802338
96,ScBTX020,0,4,0,2214.0,0.4353420010652128,2338.0,0.11897003468754806
97,ScBTX020,0,4,1,1980.0,0.43501691729222164,2060.0,0.11500154879381852
98,ScBTX021,0,4,2,1567.0,0.47118001803304843,1561.0,0.6480088826633343
99,ScBTX021,0,4,3,1598.0,0.4792643616138831,1577.0,0.6423070642927071
100,ScBTX020,0,4,4,1821.0,0.3980096101953812,1852.0,0.12360705043431654
101,ScBTX020,0,4,5,1736.0,0.3976237006910852,1768.0,0.12137393742651383
102,ScBTX021,0,4,6,1497.0,0.47735872422831704,1472.0,0.6454286941344519
103,ScBTX021,0,4,7,1471.0,0.47768548026904106,1457.0,0.6502620264136878
104,ScBTX020,0,4,8,1567.0,0.37199057236875527,1600.0,0.10373705807798123
105,ScBTX020,0,4,9,1760.0,0.3573361239464124,1774.0,0.12825727936301823
106,ScBTX021,0,4,10,1460.0,0.4982398014254549,1461.0,0.6620727856980015
107,ScBTX021,0,4,11,1520.0,0.506026011425972,1520.0,0.6680015870928766
108,ScBTX020,0,4,12,1613.0,0.3480715219872821,1631.0,0.1497586954800862
109,ScBTX020,0,4,13,1652.0,0.347219651095748,1669.0,0.14785252124569015
110,ScBTX021,0,4,14,1435.0,0.5088408017437585,1436.0,0.6714129629285402
111,ScBTX021,0,4,15,1467.0,0.5112085510881083,1466.0,0.676889393472107
112,ScBTX020,0,4,16,1578.0,0.3316286687240292,1605.0,0.16950303947054163
113,ScBTX020,0,4,17,1672.0,0.3327383187372399,1704.0,0.18162061394661097
114,ScBTX021,0,4,18,1595.0,0.5358336308564547,1551.0,0.6900374714780416
115,ScBTX021,0,4,19,1571.0,0.5336962245304483,1544.0,0.6888274839405714
116,ScBTX020,0,4,20,1564.0,0.34773850314148325,1545.0,0.19570825211334741
117,ScBTX020,0,4,21,1595.0,0.3503402166425355,1635.0,0.19710133339884323
118,ScBTX021,0,4,22,1416.0,0.5214519667376092,1444.0,0.688979936696102
119,ScBTX021,0,4,23,1700.0,0.5152713772093739,1805.0,0.6941907544137769
120,ScBTX020,0,5,0,2273.0,0.44350213577664205,2414.0,0.12272482008709192
121,ScBTX020,0,5,1,1812.0,0.434448850185421,1903.0,0.11379653068772627
122,ScBTX021,0,5,2,1598.0,0.48730916327853596,1578.0,0.651850660871456
123,ScBTX021,0,5,3,1621.0,0.5287011435418806,1622.0,0.6760304666096296
124,ScBTX020,0,5,4,1743.0,0.39838429558747523,1750.0,0.10265895942194227
125,ScBTX020,0,5,5,1691.0,0.391211667542701,1697.0,0.1172784038499527
126,ScBTX021,0,5,6,1500.0,0.4900553627235851,1497.0,0.6510936957399117
127,ScBTX021,0,5,7,1482.0,0.4868073641965876,1487.0,0.6596974701419083
128,ScBTX020,0,5,8,1619.0,0.35331682316489527,1659.0,0.10920139427289204
129,ScBTX020,0,5,9,1534.0,0.3628556415681344,1546.0,0.11742956382909828
